cod_ibge,COD_idf,indice,pesos
3200359,d1_c7_i1,1,1627
3200359,d1_c7,1,1627
3200359,d5_c1_i3,1,1627
3200359,d5_c1,1,1627
3200409,d5_c1_i3,1,4322
3200409,d5_c1,1,4322
3200508,d1_c7_i1,1,1783
3200508,d1_c7,1,1783
3200706,d1_c7_i1,1,1850
3200706,d1_c7,1,1850
3200706,d5_c1_i3,1,1850
3200706,d5_c1,1,1850
3200805,d1_c7_i1,1,5041
3200805,d1_c7,1,5041
3200805,d5_c1_i3,1,5041
3200805,d5_c1,1,5041
3200904,d1_c7_i1,1,7253
3200904,d1_c7,1,7253
3200904,d5_c1_i3,1,7253
3200904,d5_c1,1,7253
3201001,d1_c7_i1,1,2923
3201001,d1_c7,1,2923
3201001,d5_c1_i3,1,2923
3201001,d5_c1,1,2923
3201100,d1_c7_i1,1,2112
3201100,d1_c7,1,2112
3201100,d5_c1_i3,1,2112
3201100,d5_c1,1,2112
3201100,d6_c3_i1,1,2112
3201100,d6_c3,1,2112
3201159,d1_c7_i1,1,2202
3201159,d1_c7,1,2202
3201407,d1_c7_i1,1,3579
3201407,d1_c7,1,3579
3201407,d5_c1_i3,1,3579
3201407,d5_c1,1,3579
3201506,d1_c7_i1,1,14110
3201506,d1_c7,1,14110
3201704,d1_c2_i3,1,1630
3201704,d1_c7_i1,1,1630
3201704,d1_c7,1,1630
3201704,d5_c1_i3,1,1630
3201704,d5_c1,1,1630
3201803,d1_c2_i3,1,749
3201803,d1_c4_i2,1,749
3201803,d1_c7_i1,1,749
3201803,d1_c7,1,749
3201803,d5_c1_i3,1,749
3201803,d5_c1,1,749
3201902,d1_c7_i1,1,3190
3201902,d1_c7,1,3190
3201902,d5_c1_i3,1,3190
3201902,d5_c1,1,3190
3202009,d1_c4_i2,1,1306
3202108,d1_c7_i1,1,4420
3202108,d1_c7,1,4420
3202207,d1_c7_i1,1,3536
3202207,d1_c7,1,3536
3202207,d5_c1_i3,1,3536
3202207,d5_c1,1,3536
3202256,d1_c7_i1,1,1618
3202256,d1_c7,1,1618
3202256,d5_c1_i3,1,1618
3202256,d5_c1,1,1618
3202306,d5_c1_i3,1,5487
3202306,d5_c1,1,5487
3202454,d1_c4_i2,1,2966
3202454,d1_c7_i1,1,2966
3202454,d1_c7,1,2966
3202454,d5_c1_i3,1,2966
3202454,d5_c1,1,2966
3202454,d6_c4_i2,1,2966
3202553,d5_c1_i3,1,2206
3202553,d5_c1,1,2206
3202603,d1_c4_i2,1,1252
