"CD_MUN";"casos";"ideb_f1";"ideb_f2";"ideb_em";"d1";"d2";"d3";"d4";"d5";"d6"
"55";"3204054";60;5.7;4.9;4.7;0.7739086515;0.5654936558;0.390430875;0.705475152;0.9754163362;0.9157910389
"56";"3204104";53;5.83333333333333;4.53333333333333;4.6;0.7850018659;0.5779327951;0.3641652814;0.6868222117;0.9704477691;0.9237859178
"57";"3204203";38;5.7;4.4;0;0.7631931317;0.6113775992;0.3985113422;0.7041489445;0.9737318841;0.941133034
"58";"3204252";9;5.8;4.3;0;0.7715575944;0.584771701;0.3654457267;0.628428667;0.9787589898;0.8918715504
"59";"3204302";23;5.5;4.9;4;0.7712912088;0.5856763926;0.3877099912;0.6226514147;0.9765141468;0.8254310345
"60";"3204351";34;5.8;5.3;4.1;0.7607661436;0.5859493371;0.3548768939;0.7624881629;0.9491003788;0.7962831439
"61";"3204401";7;5.6;5;3.9;0.7869553595;0.5945669607;0.3930767175;0.7035551991;0.9643589058;0.873095429
"62";"3204500";14;6.4;0;4.5;0.8125765931;0.5951286765;0.3927696078;0.6263212316;0.9667585784;0.7787224265
"63";"3204559";63;6.36666666666667;5.46666666666667;4.85;0.7781506484;0.579978148;0.4501957571;0.8473550032;0.9664481471;0.7664913958
"64";"3204609";24;6.4;5.23333333333333;4.8;0.7980619233;0.5947945586;0.3704423468;0.804784379;0.9615028688;0.8288103831
"65";"3204658";17;5.8;4.65;0;0.7802119421;0.5874108417;0.3567522587;0.7912208749;0.9701616738;0.8015335235
"66";"3204708";57;6.03333333333333;4.93333333333333;4.5;0.8062938816;0.5706807924;0.4158726179;0.7723691909;0.9728491029;0.9105754764
"67";"3204807";21;5.6;4.66666666666667;0;0.8185177036;0.6108394301;0.392247465;0.6833365422;0.9707568562;0.93603196
"68";"3204906";237;5.7;4.93333333333333;4.75;0.8050019453;0.6272381301;0.4114061456;0.716338125;0.9735710738;0.8676198551
"69";"3204955";8;6.8;5.6;4.7;0.7650688182;0.5805315615;0.4218161683;0.817358804;0.9748246585;0.8697674419
"70";"3205002";772;5.7;4.76666666666667;4.15;0.7466025278;0.6200706162;0.4061900076;0.6177134885;0.9710629725;0.9549008046
"71";"3205010";74;5.73333333333333;5.1;4.6;0.7480360462;0.5841915382;0.4236908276;0.7881409205;0.9649976313;0.905624795
"72";"3205036";31;6;5.2;4.7;0.7651085507;0.5825428333;0.3818080513;0.7482413985;0.9726749315;0.8463487254
"73";"3205069";34;6.63333333333333;5.33333333333333;5.5;0.7828593181;0.6310715645;0.4248826291;0.8278930339;0.9700334137;0.8734059764
"74";"3205101";112;6;4.56666666666667;4;0.7418037495;0.6048769701;0.4027554412;0.5586167846;0.9708596905;0.9289512303
"75";"3205150";15;6;5.6;4.4;0.7794231514;0.5988240418;0.3637243515;0.7891744096;0.9755452316;0.7822299652
"76";"3205176";30;6.1;5.43333333333333;0;0.7506206862;0.5665015641;0.31969065;0.7460679527;0.96637122;0.7769160584
"77";"3205200";489;5.9;4.73333333333333;4.45;0.7695944221;0.6385008573;0.4089452246;0.6456004601;0.9711472374;0.9334751373
"78";"3205309";306;5.6;4.5;4.1;0.796435317;0.655589352;0.3867412585;0.5511883875;0.9725058564;0.961560172
